Name,Email,Password,"Admission No","Student ID",Class,Section,Parent,"Parent Email",Phone
"Daniel Yusuf",student.ss-2-science.1@belovedschool.test,password,BVS-SS2-SCI-001,STD-0031,"SS 2",Science,"Parent1 Yusuf",parent.ss-2-science.1@belovedschool.test,+2348112000031
"Esther Afolabi",student.ss-2-science.2@belovedschool.test,password,BVS-SS2-SCI-002,STD-0032,"SS 2",Science,"Parent2 Afolabi",parent.ss-2-science.2@belovedschool.test,+2348112000032
"Joshua Ogunleye",student.ss-2-science.3@belovedschool.test,password,BVS-SS2-SCI-003,STD-0033,"SS 2",Science,"Parent3 Ogunleye",parent.ss-2-science.3@belovedschool.test,+2348112000033
"Mercy Eze",student.ss-2-science.4@belovedschool.test,password,BVS-SS2-SCI-004,STD-0034,"SS 2",Science,"Parent4 Eze",parent.ss-2-science.4@belovedschool.test,+2348112000034
"David Ajayi",student.ss-2-science.5@belovedschool.test,password,BVS-SS2-SCI-005,STD-0035,"SS 2",Science,"Parent5 Ajayi",parent.ss-2-science.5@belovedschool.test,+2348112000035
"Sarah Ibrahim",student.ss-3-art.1@belovedschool.test,password,BVS-SS3-ART-001,STD-0056,"SS 3",Art,"Parent1 Ibrahim",parent.ss-3-art.1@belovedschool.test,+2348112000056
"Paul Olawale",student.ss-3-art.2@belovedschool.test,password,BVS-SS3-ART-002,STD-0057,"SS 3",Art,"Parent2 Olawale",parent.ss-3-art.2@belovedschool.test,+2348112000057
"Hannah Okechukwu",student.ss-3-art.3@belovedschool.test,password,BVS-SS3-ART-003,STD-0058,"SS 3",Art,"Parent3 Okechukwu",parent.ss-3-art.3@belovedschool.test,+2348112000058
"John Akinsola",student.ss-3-art.4@belovedschool.test,password,BVS-SS3-ART-004,STD-0059,"SS 3",Art,"Parent4 Akinsola",parent.ss-3-art.4@belovedschool.test,+2348112000059
"Patience Onyeka",student.ss-3-art.5@belovedschool.test,password,BVS-SS3-ART-005,STD-0060,"SS 3",Art,"Parent5 Onyeka",parent.ss-3-art.5@belovedschool.test,+2348112000060
"Faith Ajayi",student.ss-3-commercial.1@belovedschool.test,password,BVS-SS3-COM-001,STD-0051,"SS 3",Commercial,"Parent1 Ajayi",parent.ss-3-commercial.1@belovedschool.test,+2348112000051
"Victor Ibrahim",student.ss-3-commercial.2@belovedschool.test,password,BVS-SS3-COM-002,STD-0052,"SS 3",Commercial,"Parent2 Ibrahim",parent.ss-3-commercial.2@belovedschool.test,+2348112000052
"Lydia Olawale",student.ss-3-commercial.3@belovedschool.test,password,BVS-SS3-COM-003,STD-0053,"SS 3",Commercial,"Parent3 Olawale",parent.ss-3-commercial.3@belovedschool.test,+2348112000053
"Naomi Okechukwu",student.ss-3-commercial.4@belovedschool.test,password,BVS-SS3-COM-004,STD-0054,"SS 3",Commercial,"Parent4 Okechukwu",parent.ss-3-commercial.4@belovedschool.test,+2348112000054
"Joseph Akinsola",student.ss-3-commercial.5@belovedschool.test,password,BVS-SS3-COM-005,STD-0055,"SS 3",Commercial,"Parent5 Akinsola",parent.ss-3-commercial.5@belovedschool.test,+2348112000055
"Peace Eze",student.ss-3-science.1@belovedschool.test,password,BVS-SS3-SCI-001,STD-0046,"SS 3",Science,"Parent1 Eze",parent.ss-3-science.1@belovedschool.test,+2348112000046
"Caleb Ajayi",student.ss-3-science.2@belovedschool.test,password,BVS-SS3-SCI-002,STD-0047,"SS 3",Science,"Parent2 Ajayi",parent.ss-3-science.2@belovedschool.test,+2348112000047
"Princess Ibrahim",student.ss-3-science.3@belovedschool.test,password,BVS-SS3-SCI-003,STD-0048,"SS 3",Science,"Parent3 Ibrahim",parent.ss-3-science.3@belovedschool.test,+2348112000048
"Emmanuel Olawale",student.ss-3-science.4@belovedschool.test,password,BVS-SS3-SCI-004,STD-0049,"SS 3",Science,"Parent4 Olawale",parent.ss-3-science.4@belovedschool.test,+2348112000049
"Testimony Okechukwu",student.ss-3-science.5@belovedschool.test,password,BVS-SS3-SCI-005,STD-0050,"SS 3",Science,"Parent5 Okechukwu",parent.ss-3-science.5@belovedschool.test,+2348112000050
